coef,se,lci,uci,pval,poly,h,b,N,variable,type
0.031,0.106,-0.177,0.239,0.770,1,126.061,192.333,2042,altitude,Indigenous
0.048,0.132,-0.211,0.307,0.717,2,152.585,207.441,2199,altitude,Indigenous
0.052,0.077,-0.098,0.203,0.497,1,169.552,267.215,1850,altitude,Mixed
0.077,0.096,-0.110,0.264,0.421,2,218.068,297.847,2061,altitude,Mixed
0.225,0.124,-0.018,0.469,0.070,1,139.947,236.824,2458,slope,Indigenous
0.232,0.145,-0.052,0.515,0.109,2,212.346,294.327,3039,slope,Indigenous
0.020,0.113,-0.203,0.242,0.863,1,163.042,253.969,1758,slope,Mixed
0.044,0.139,-0.228,0.317,0.749,2,210.065,285.602,1970,slope,Mixed
-0.083,0.147,-0.372,0.205,0.571,1,125.495,193.994,930,temperature,Indigenous
-0.092,0.166,-0.417,0.233,0.580,2,190.169,263.511,1230,temperature,Indigenous
-0.126,0.138,-0.396,0.143,0.359,1,102.882,160.736,513,temperature,Mixed
-0.002,0.181,-0.357,0.353,0.990,2,110.718,164.860,523,temperature,Mixed
0.037,0.087,-0.134,0.208,0.672,1,140.740,218.356,1029,precipitation,Indigenous
0.049,0.119,-0.185,0.283,0.681,2,143.345,197.434,945,precipitation,Indigenous
0.090,0.064,-0.035,0.215,0.158,1,101.116,155.419,498,precipitation,Mixed
0.053,0.080,-0.103,0.209,0.503,2,112.248,162.959,519,precipitation,Mixed
0.042,0.113,-0.179,0.263,0.710,1,137.113,211.919,1000,humidity,Indigenous
0.081,0.148,-0.208,0.371,0.582,2,151.759,211.929,1000,humidity,Indigenous
0.115,0.098,-0.077,0.308,0.241,1,100.727,157.065,505,humidity,Mixed
0.041,0.125,-0.205,0.287,0.743,2,112.728,166.536,528,humidity,Mixed
